context,attribute,expected,actual,result
immigration,dob,disclose,disclosed,pass
immigration,legal_name,disclose,disclosed,pass
immigration,nickname,withhold,withheld,pass
immigration,passport,disclose,disclosed,pass
immigration,risk,withhold,withheld,pass
immigration,tax_id,withhold,withheld,pass
immigration,vaccination,withhold,withheld,pass
immigration,vid_token,withhold,withheld,pass
public_health,dob,disclose,disclosed,pass
public_health,legal_name,disclose,disclosed,pass
public_health,nickname,withhold,withheld,pass
public_health,passport,withhold,withheld,pass
public_health,risk,withhold,withheld,pass
public_health,tax_id,withhold,withheld,pass
public_health,vaccination,disclose,disclosed,pass
public_health,vid_token,withhold,withheld,pass
banking,dob,disclose,disclosed,pass
banking,legal_name,disclose,disclosed,pass
banking,nickname,withhold,withheld,pass
banking,passport,withhold,withheld,pass
banking,risk,withhold,withheld,pass
banking,tax_id,disclose,disclosed,pass
banking,vaccination,withhold,withheld,pass
banking,vid_token,withhold,withheld,pass
insurance,dob,disclose,disclosed,pass
insurance,legal_name,withhold,withheld,pass
insurance,nickname,withhold,withheld,pass
insurance,passport,withhold,withheld,pass
insurance,risk,disclose,disclosed,pass
insurance,tax_id,withhold,withheld,pass
insurance,vaccination,withhold,withheld,pass
insurance,vid_token,withhold,withheld,pass
public_service,dob,withhold,withheld,pass
public_service,legal_name,withhold,withheld,pass
public_service,nickname,withhold,withheld,pass
public_service,passport,withhold,withheld,pass
public_service,risk,withhold,withheld,pass
public_service,tax_id,withhold,withheld,pass
public_service,vaccination,withhold,withheld,pass
public_service,vid_token,disclose,disclosed,pass
social,dob,withhold,withheld,pass
social,legal_name,withhold,withheld,pass
social,nickname,disclose,disclosed,pass
social,passport,withhold,withheld,pass
social,risk,withhold,withheld,pass
social,tax_id,withhold,withheld,pass
social,vaccination,withhold,withheld,pass
social,vid_token,withhold,withheld,pass
